Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45,floor 46,floor 47
DBED,X,3,0,0,0,0,0.007936509,0.011004101,0.01274306,0.01390141,0.015074195,0.015419215,0.015429985,0.015267875,0.01489941,0.01456321,0.014188985,0.01373746,0.01332509,0.012632605,0.01224871,0.01193034,0.01152796,0.011048255,0.011001877,0.010969597,0.011178304,0.011455874,0.011425912,0.011287016,0.011164975,0.010943735,0.010705574,0.010351647,0.009938363,0.009544057,0.009126784,0.00884841,0.008652665,0.008228526,0.007883967,0.007349086,0.006585268,0.00578688,0.00504496,0.004325887,0.003520842,5.11E-14,0
DBED,X,4,0,0,0,0,0.004426615,0.006113791,0.007148498,0.007924822,0.008547224,0.008863306,0.009166888,0.009467918,0.009710908,0.00988575,0.010074131,0.010272887,0.0106311,0.010747109,0.0107845,0.010613421,0.010491854,0.010221846,0.009834767,0.009593151,0.009260377,0.008891853,0.008390119,0.008569556,0.008675642,0.008710074,0.00866201,0.008506772,0.008259958,0.007962722,0.007598815,0.007206667,0.006827556,0.006079625,0.005662016,0.005225682,0.004678801,0.004100597,0.00346832,0.003043778,0.002572524,3.67E-14,0
DBED,X,5,0,0,0,0,0.03193423,0.02860657,0.025530415,0.02312871,0.02232153,0.02135784,0.020081595,0.019104115,0.018442925,0.01785312,0.017393975,0.01708581,0.017268015,0.017056405,0.016772585,0.016302565,0.015708235,0.015033505,0.014548185,0.01416257,0.013872655,0.013890235,0.01361885,0.01301565,0.01240223,0.01189997,0.011538265,0.01100503,0.01051583,0.009706088,0.009102692,0.008650913,0.008304627,0.007521854,0.006714695,0.006062838,0.005378904,0.004622973,0.004023292,0.003442839,0.002545689,7.97E-14,0
DBED,X,6,0,0,0,0,0.003006873,0.003926546,0.004459715,0.004785719,0.004930218,0.004932211,0.004850976,0.00469212,0.004492708,0.004489484,0.004539075,0.004666587,0.005039188,0.005393439,0.005699809,0.00593633,0.006011648,0.005921685,0.005755234,0.005515931,0.005790012,0.006139585,0.006301823,0.006270206,0.006163902,0.006019133,0.005796767,0.005549565,0.005574411,0.00562407,0.005767111,0.005749189,0.005666885,0.0052869,0.004807932,0.004476511,0.004371659,0.004164268,0.003834191,0.003298522,0.002400997,3.11E-14,0
DBED,X,7,0,0,0,0,0.002850857,0.004090874,0.004853038,0.005463026,0.006234552,0.006476626,0.006601444,0.006725701,0.006978657,0.007040085,0.007089339,0.00717342,0.007567378,0.007863991,0.008180568,0.008233582,0.008286175,0.008370949,0.008318798,0.00823962,0.008135382,0.008021212,0.007853865,0.007634502,0.007373395,0.007076418,0.006775457,0.00652263,0.006289859,0.006062341,0.005844033,0.005551237,0.005203636,0.004794629,0.004330616,0.004022923,0.003618524,0.003111602,0.00258566,0.001936441,0.001135423,4.22E-14,0
DBED,X,8,0,0,0,0,0.002809643,0.003734408,0.00427831,0.004647404,0.005024852,0.005242058,0.005380037,0.005482338,0.005451983,0.005496381,0.005456865,0.005564521,0.005847987,0.005964434,0.006124862,0.0061646,0.006028268,0.005921126,0.005931281,0.005780926,0.00580279,0.005920255,0.005846783,0.005825732,0.006049045,0.006224963,0.006567397,0.006804337,0.006952577,0.007007029,0.007059351,0.006973827,0.006830781,0.006530207,0.006209981,0.005797017,0.005193239,0.004605504,0.004126662,0.003770439,0.002538635,5.74E-14,0
DBED,X,9,0,0,0,0,0.004323107,0.006205239,0.00729408,0.008061176,0.008510249,0.008668075,0.008719906,0.00862542,0.008807178,0.009198802,0.009576334,0.009838917,0.01008124,0.009985397,0.009713864,0.009569728,0.009485473,0.009741657,0.010139028,0.010439909,0.01061715,0.01061082,0.010410906,0.010180716,0.010003109,0.009762714,0.009338765,0.0088116,0.00853062,0.008377688,0.00817257,0.00783635,0.007804076,0.007031588,0.006483793,0.005936566,0.005823676,0.005587335,0.0050882,0.004681927,0.003833379,4.50E-14,0
DBED,X,10,0,0,0,0,0.008773929,0.01189274,0.01339035,0.014414945,0.01514439,0.01596182,0.016704125,0.0170743,0.017325435,0.01746532,0.01745301,0.017303385,0.017319445,0.016999365,0.016426035,0.01577885,0.015552,0.01529204,0.015009695,0.014700345,0.01459106,0.01445771,0.014329865,0.01415636,0.01384915,0.013699075,0.01339985,0.012950155,0.012442845,0.011683275,0.010947395,0.010238348,0.009436452,0.008819034,0.007850227,0.007218756,0.006184147,0.005220966,0.004147564,0.003262348,0.001914923,4.07E-14,0
DBED,X,11,0,0,0,0,0.009708004,0.01237408,0.01363505,0.014472495,0.015184055,0.015680005,0.01579961,0.0157583,0.015535585,0.01528205,0.015112255,0.01489079,0.01503316,0.015014145,0.014934,0.014778875,0.014555265,0.014215835,0.01377991,0.01322811,0.01260476,0.01234303,0.01212058,0.01182869,0.011497395,0.011082375,0.010848655,0.01063483,0.01017838,0.009495968,0.008680424,0.007715853,0.007163368,0.006943518,0.006668801,0.006763175,0.006670549,0.006488459,0.005982725,0.005330088,0.003556856,4.73E-14,0
DBED,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBED,Y,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
